,time
0,0 days 00:00:53.164442
1,0 days 00:00:30.137850
2,0 days 00:00:30.087187
3,0 days 00:00:26.009690
4,0 days 00:00:42.673625
5,0 days 00:00:29.128253
6,0 days 00:00:30.301950
7,0 days 00:00:46.912504
8,0 days 00:00:32.887299
9,0 days 00:01:17.330862
