,time
0,0 days 00:00:59.941004
1,0 days 00:01:02.169160
2,0 days 00:00:51.786926
3,0 days 00:01:01.957394
4,0 days 00:01:10.274518
5,0 days 00:01:41.374272
6,0 days 00:01:11.191018
7,0 days 00:01:02.305509
8,0 days 00:00:55.169039
9,0 days 00:03:49.325999
