,time
0,0 days 00:00:28.687461
1,0 days 00:00:25.046648
2,0 days 00:00:26.924480
3,0 days 00:00:31.068964
4,0 days 00:00:37.158322
5,0 days 00:00:34.648386
6,0 days 00:00:37.296263
7,0 days 00:00:34.278390
8,0 days 00:00:25.638767
9,0 days 00:00:29.146845
