,time
0,0 days 00:01:10.574207
1,0 days 00:01:06.102079
2,0 days 00:01:22.965428
3,0 days 00:01:54.728440
4,0 days 00:00:58.317916
5,0 days 00:01:06.119709
6,0 days 00:01:02.025790
7,0 days 00:01:42.380757
8,0 days 00:02:01.172368
9,0 days 00:01:59.788558
