,time
0,0 days 00:01:22.168136
1,0 days 00:02:14.269401
2,0 days 00:01:10.356082
3,0 days 00:02:10.652723
4,0 days 00:01:31.469708
5,0 days 00:01:34.573635
6,0 days 00:01:19.058060
7,0 days 00:02:17.142004
8,0 days 00:01:35.622000
9,0 days 00:01:55.301356
