,time
0,0 days 00:00:51.000752
1,0 days 00:00:38.474933
2,0 days 00:00:43.606183
3,0 days 00:00:56.467372
4,0 days 00:00:27.982491
5,0 days 00:00:53.645741
6,0 days 00:00:41.110264
7,0 days 00:00:58.812688
8,0 days 00:00:35.735620
9,0 days 00:01:06.728638
