,time
0,0 days 00:00:00.000164
1,0 days 00:00:00.000169
2,0 days 00:00:00.000167
3,0 days 00:00:00.000166
4,0 days 00:00:00.000157
5,0 days 00:00:00.000149
6,0 days 00:00:00.000151
7,0 days 00:00:00.000173
8,0 days 00:00:00.000169
9,0 days 00:00:00.000161
