,time
0,0 days 00:01:00.421290
1,0 days 00:00:45.220009
2,0 days 00:00:52.945813
3,0 days 00:00:49.469926
4,0 days 00:00:58.235583
5,0 days 00:00:59.392708
6,0 days 00:01:01.748439
7,0 days 00:00:32.738574
8,0 days 00:00:51.690839
9,0 days 00:00:55.633592
