,time
0,0 days 00:00:00.000161
1,0 days 00:00:00.000171
2,0 days 00:00:00.000161
3,0 days 00:00:00.000152
4,0 days 00:00:00.000168
5,0 days 00:00:00.000179
6,0 days 00:00:00.000152
7,0 days 00:00:00.000284
8,0 days 00:00:00.000160
9,0 days 00:00:00.000170
