,time
0,0 days 00:00:00.000166
1,0 days 00:00:00.000320
2,0 days 00:00:00.000166
3,0 days 00:00:00.000174
4,0 days 00:00:00.000169
5,0 days 00:00:00.000186
6,0 days 00:00:00.000168
7,0 days 00:00:00.000355
8,0 days 00:00:00.000158
9,0 days 00:00:00.000186
