,time
0,0 days 00:01:36.422981
1,0 days 00:00:59.955707
2,0 days 00:01:15.580369
3,0 days 00:01:22.607247
4,0 days 00:01:36.945808
5,0 days 00:01:41.287562
6,0 days 00:01:15.956535
7,0 days 00:01:43.031881
8,0 days 00:01:16.886924
9,0 days 00:01:10.405855
