,time
0,0 days 00:00:00.000142
1,0 days 00:00:00.000140
2,0 days 00:00:00.000142
3,0 days 00:00:00.000141
4,0 days 00:00:00.000148
5,0 days 00:00:00.000141
6,0 days 00:00:00.000141
7,0 days 00:00:00.000143
8,0 days 00:00:00.000140
9,0 days 00:00:00.000142
