,time
0,0 days 00:01:39.613002
1,0 days 00:01:28.730534
2,0 days 00:01:28.983566
3,0 days 00:01:14.954082
4,0 days 00:01:11.779430
5,0 days 00:00:54.573105
6,0 days 00:01:38.209759
7,0 days 00:00:55.805500
8,0 days 00:01:46.344215
9,0 days 00:01:23.848571
