,time
0,0 days 00:00:00.000164
1,0 days 00:00:00.000295
2,0 days 00:00:00.000183
3,0 days 00:00:00.000152
4,0 days 00:00:00.000177
5,0 days 00:00:00.000187
6,0 days 00:00:00.000292
7,0 days 00:00:00.000168
8,0 days 00:00:00.000180
9,0 days 00:00:00.000157
