,time
0,0 days 00:01:54.836268
1,0 days 00:01:04.562911
2,0 days 00:00:31.709853
3,0 days 00:02:57.796297
4,0 days 00:00:31.947102
5,0 days 00:01:58.408368
6,0 days 00:00:30.245957
7,0 days 00:01:41.232030
8,0 days 00:00:55.195817
9,0 days 00:00:38.599591
