,time
0,0 days 00:00:00.000143
1,0 days 00:00:00.000138
2,0 days 00:00:00.000138
3,0 days 00:00:00.000141
4,0 days 00:00:00.000143
5,0 days 00:00:00.000255
6,0 days 00:00:00.000141
7,0 days 00:00:00.000140
8,0 days 00:00:00.000141
9,0 days 00:00:00.000141
