,time
0,0 days 00:01:18.821686
1,0 days 00:00:57.794541
2,0 days 00:00:46.532806
3,0 days 00:04:08.005787
4,0 days 00:02:25.698723
5,0 days 00:02:42.770668
6,0 days 00:01:16.475007
7,0 days 00:02:30.024009
8,0 days 00:02:22.730952
9,0 days 00:02:29.894511
