,time
0,0 days 00:01:02.776506
1,0 days 00:00:57.657513
2,0 days 00:01:03.204324
3,0 days 00:00:58.617794
4,0 days 00:00:51.069603
5,0 days 00:01:10.549923
6,0 days 00:01:11.318046
7,0 days 00:01:01.196192
8,0 days 00:00:52.844329
9,0 days 00:01:06.531383
