,time
0,0 days 00:00:00.000158
1,0 days 00:00:00.000147
2,0 days 00:00:00.000153
3,0 days 00:00:00.000171
4,0 days 00:00:00.000166
5,0 days 00:00:00.000165
6,0 days 00:00:00.000149
7,0 days 00:00:00.000179
8,0 days 00:00:00.000166
9,0 days 00:00:00.000172
