,time
0,0 days 00:00:41.756415
1,0 days 00:01:10.900678
2,0 days 00:00:49.086832
3,0 days 00:00:56.019562
4,0 days 00:00:46.043463
5,0 days 00:01:00.949205
6,0 days 00:00:48.049973
7,0 days 00:00:57.959612
8,0 days 00:01:00.460064
9,0 days 00:08:51.135407
