,time
0,0 days 00:00:00.000168
1,0 days 00:00:00.000165
2,0 days 00:00:00.000155
3,0 days 00:00:00.000207
4,0 days 00:00:00.000165
5,0 days 00:00:00.000169
6,0 days 00:00:00.000325
7,0 days 00:00:00.000164
8,0 days 00:00:00.000340
9,0 days 00:00:00.000160
