,time
0,0 days 00:01:21.126492
1,0 days 00:01:02.980926
2,0 days 00:01:09.416116
3,0 days 00:00:47.144817
4,0 days 00:00:49.706412
5,0 days 00:00:45.782447
6,0 days 00:01:15.004373
7,0 days 00:01:24.816035
8,0 days 00:01:04.156757
9,0 days 00:01:21.523594
