,time
0,0 days 00:01:21.219951
1,0 days 00:01:21.548490
2,0 days 00:01:05.073180
3,0 days 00:02:03.289722
4,0 days 00:02:03.876407
5,0 days 00:01:24.020160
6,0 days 00:01:04.061588
7,0 days 00:01:21.122659
8,0 days 00:01:46.118683
9,0 days 00:02:19.206550
