,time
0,0 days 00:00:00.000159
1,0 days 00:00:00.000156
2,0 days 00:00:00.000155
3,0 days 00:00:00.000172
4,0 days 00:00:00.000157
5,0 days 00:00:00.000150
6,0 days 00:00:00.000160
7,0 days 00:00:00.000164
8,0 days 00:00:00.000162
9,0 days 00:00:00.000153
