,time
0,0 days 00:02:40.437337
1,0 days 00:01:39.713296
2,0 days 00:02:34.028224
3,0 days 00:02:45.551766
4,0 days 00:01:22.667762
5,0 days 00:02:48.542113
6,0 days 00:00:47.145378
7,0 days 00:02:33.941685
8,0 days 00:01:02.810149
9,0 days 00:01:02.755967
