,time
0,0 days 00:00:51.823552
1,0 days 00:01:44.139276
2,0 days 00:02:28.519990
3,0 days 00:01:28.615232
4,0 days 00:02:05.720278
5,0 days 00:00:38.626436
6,0 days 00:01:17.703084
7,0 days 00:00:26.460772
8,0 days 00:03:16.749972
9,0 days 00:04:11.238541
