,time
0,0 days 00:00:28.005408
1,0 days 00:00:25.689177
2,0 days 00:00:27.541014
3,0 days 00:01:10.610811
4,0 days 00:00:24.358770
5,0 days 00:00:27.349748
6,0 days 00:00:47.457542
7,0 days 00:01:05.719971
8,0 days 00:00:25.619220
9,0 days 00:00:27.698754
