,time
0,0 days 00:00:00.000246
1,0 days 00:00:00.000183
2,0 days 00:00:00.000200
3,0 days 00:00:00.000148
4,0 days 00:00:00.000164
5,0 days 00:00:00.000168
6,0 days 00:00:00.000177
7,0 days 00:00:00.000163
8,0 days 00:00:00.000183
9,0 days 00:00:00.000160
