,time
0,0 days 00:00:00.000171
1,0 days 00:00:00.000165
2,0 days 00:00:00.000150
3,0 days 00:00:00.000156
4,0 days 00:00:00.000164
5,0 days 00:00:00.000161
6,0 days 00:00:00.000154
7,0 days 00:00:00.000158
8,0 days 00:00:00.000152
9,0 days 00:00:00.000157
