,time
0,0 days 00:00:00.000166
1,0 days 00:00:00.000154
2,0 days 00:00:00.000160
3,0 days 00:00:00.000167
4,0 days 00:00:00.000159
5,0 days 00:00:00.000151
6,0 days 00:00:00.000156
7,0 days 00:00:00.000171
8,0 days 00:00:00.000160
9,0 days 00:00:00.000167
