,time
0,0 days 00:00:44.020124
1,0 days 00:00:50.275605
2,0 days 00:00:49.663102
3,0 days 00:00:47.066691
4,0 days 00:00:52.671039
5,0 days 00:00:34.507315
6,0 days 00:00:40.279974
7,0 days 00:00:27.797531
8,0 days 00:00:41.873941
9,0 days 00:00:40.258323
