,time
0,0 days 00:00:25.459318
1,0 days 00:00:26.849411
2,0 days 00:00:33.478214
3,0 days 00:00:29.151993
4,0 days 00:00:27.415681
5,0 days 00:00:28.229779
6,0 days 00:00:43.152880
7,0 days 00:00:44.776862
8,0 days 00:00:42.630903
9,0 days 00:00:38.113522
