,time
0,0 days 00:00:00.000137
1,0 days 00:00:00.000136
2,0 days 00:00:00.000141
3,0 days 00:00:00.000138
4,0 days 00:00:00.000137
5,0 days 00:00:00.000140
6,0 days 00:00:00.000137
7,0 days 00:00:00.000138
8,0 days 00:00:00.000138
9,0 days 00:00:00.000139
