,time
0,0 days 00:00:55.044389
1,0 days 00:00:54.681328
2,0 days 00:00:53.806517
3,0 days 00:00:57.456848
4,0 days 00:01:04.379710
5,0 days 00:00:43.164155
6,0 days 00:00:36.494771
7,0 days 00:00:43.207000
8,0 days 00:01:00.514400
9,0 days 00:00:51.857650
