,time
0,0 days 00:00:00.000175
1,0 days 00:00:00.000283
2,0 days 00:00:00.000164
3,0 days 00:00:00.000166
4,0 days 00:00:00.000276
5,0 days 00:00:00.000166
6,0 days 00:00:00.000162
7,0 days 00:00:00.000148
8,0 days 00:00:00.000155
9,0 days 00:00:00.000168
