,time
0,0 days 00:01:28.284809
1,0 days 00:03:01.885733
2,0 days 00:01:16.788983
3,0 days 00:02:01.851724
4,0 days 00:01:06.379108
5,0 days 00:01:54.799081
6,0 days 00:00:58.871774
7,0 days 00:02:23.264803
8,0 days 00:01:19.565362
9,0 days 00:00:40.089297
