,time
0,0 days 00:01:50.417863
1,0 days 00:00:31.594768
2,0 days 00:01:17.200130
3,0 days 00:02:14.397703
4,0 days 00:00:35.711049
5,0 days 00:00:42.913367
6,0 days 00:01:20.723585
7,0 days 00:01:27.364626
8,0 days 00:01:54.091190
9,0 days 00:00:35.648450
