,time
0,0 days 00:00:00.000211
1,0 days 00:00:00.000415
2,0 days 00:00:00.000169
3,0 days 00:00:00.000158
4,0 days 00:00:00.000174
5,0 days 00:00:00.000155
6,0 days 00:00:00.000151
7,0 days 00:00:00.000184
8,0 days 00:00:00.000223
9,0 days 00:00:00.000183
