,time
0,0 days 00:02:08.240461
1,0 days 00:02:01.804918
2,0 days 00:01:44.897211
3,0 days 00:02:04.400720
4,0 days 00:01:42.136330
5,0 days 00:01:35.253779
6,0 days 00:01:48.919245
7,0 days 00:02:10.291648
8,0 days 00:01:39.422402
9,0 days 00:02:11.848919
