,time
0,0 days 00:00:00.000196
1,0 days 00:00:00.000142
2,0 days 00:00:00.000143
3,0 days 00:00:00.000153
4,0 days 00:00:00.000143
5,0 days 00:00:00.000151
6,0 days 00:00:00.000144
7,0 days 00:00:00.000167
8,0 days 00:00:00.000143
9,0 days 00:00:00.000151
