,time
0,0 days 00:00:00.000156
1,0 days 00:00:00.000211
2,0 days 00:00:00.000182
3,0 days 00:00:00.000166
4,0 days 00:00:00.000201
5,0 days 00:00:00.000172
6,0 days 00:00:00.000171
7,0 days 00:00:00.000169
8,0 days 00:00:00.000195
9,0 days 00:00:00.000160
