,time
0,0 days 00:00:00.000155
1,0 days 00:00:00.000160
2,0 days 00:00:00.000156
3,0 days 00:00:00.000219
4,0 days 00:00:00.000172
5,0 days 00:00:00.000150
6,0 days 00:00:00.000162
7,0 days 00:00:00.000154
8,0 days 00:00:00.000212
9,0 days 00:00:00.000183
