,time
0,0 days 00:00:59.002490
1,0 days 00:00:56.221043
2,0 days 00:00:45.075850
3,0 days 00:01:00.645787
4,0 days 00:00:34.727094
5,0 days 00:00:30.836896
6,0 days 00:01:01.576117
7,0 days 00:00:55.873866
8,0 days 00:00:44.054154
9,0 days 00:00:39.694349
