,time
0,0 days 00:00:00.000161
1,0 days 00:00:00.000292
2,0 days 00:00:00.000157
3,0 days 00:00:00.000169
4,0 days 00:00:00.000227
5,0 days 00:00:00.000198
6,0 days 00:00:00.000164
7,0 days 00:00:00.000159
8,0 days 00:00:00.000171
9,0 days 00:00:00.000153
