,time
0,0 days 00:01:18.734333
1,0 days 00:02:36.636702
2,0 days 00:01:51.289744
3,0 days 00:04:57.262298
4,0 days 00:02:01.038818
5,0 days 00:01:22.796000
6,0 days 00:01:48.992603
7,0 days 00:01:36.308409
8,0 days 00:01:37.911068
9,0 days 00:01:17.400462
