,time
0,0 days 00:00:00.000164
1,0 days 00:00:00.000166
2,0 days 00:00:00.000165
3,0 days 00:00:00.000171
4,0 days 00:00:00.000159
5,0 days 00:00:00.000171
6,0 days 00:00:00.000160
7,0 days 00:00:00.000177
8,0 days 00:00:00.000189
9,0 days 00:00:00.000164
