,time
0,0 days 00:01:40.030534
1,0 days 00:01:49.845722
2,0 days 00:00:51.064529
3,0 days 00:03:21.472794
4,0 days 00:03:35.400353
5,0 days 00:01:15.794508
6,0 days 00:02:32.708236
7,0 days 00:02:20.979383
8,0 days 00:02:00.479934
9,0 days 00:01:42.685518
