,time
0,0 days 00:00:00.000159
1,0 days 00:00:00.000160
2,0 days 00:00:00.000162
3,0 days 00:00:00.000173
4,0 days 00:00:00.000155
5,0 days 00:00:00.000168
6,0 days 00:00:00.000158
7,0 days 00:00:00.000174
8,0 days 00:00:00.000164
9,0 days 00:00:00.000160
