,time
0,0 days 00:00:00.000147
1,0 days 00:00:00.000152
2,0 days 00:00:00.000145
3,0 days 00:00:00.000304
4,0 days 00:00:00.000144
5,0 days 00:00:00.000148
6,0 days 00:00:00.000145
7,0 days 00:00:00.000153
8,0 days 00:00:00.000146
9,0 days 00:00:00.000145
