,time
0,0 days 00:00:00.000173
1,0 days 00:00:00.000172
2,0 days 00:00:00.000164
3,0 days 00:00:00.000156
4,0 days 00:00:00.000182
5,0 days 00:00:00.000160
6,0 days 00:00:00.000153
7,0 days 00:00:00.000153
8,0 days 00:00:00.000167
9,0 days 00:00:00.000168
