,time
0,0 days 00:00:39.475942
1,0 days 00:00:42.158420
2,0 days 00:00:40.150424
3,0 days 00:00:40.358340
4,0 days 00:01:10.906016
5,0 days 00:01:01.986349
6,0 days 00:00:52.960756
7,0 days 00:00:46.064706
8,0 days 00:00:48.645789
9,0 days 00:00:53.289556
