,time
0,0 days 00:00:54.492533
1,0 days 00:01:18.077515
2,0 days 00:00:47.260655
3,0 days 00:01:14.054513
4,0 days 00:00:46.183472
5,0 days 00:01:12.187351
6,0 days 00:00:38.163325
7,0 days 00:00:56.448401
8,0 days 00:00:51.724536
9,0 days 00:00:38.450125
