,time
0,0 days 00:00:00.000173
1,0 days 00:00:00.000157
2,0 days 00:00:00.000155
3,0 days 00:00:00.000154
4,0 days 00:00:00.000315
5,0 days 00:00:00.000154
6,0 days 00:00:00.000155
7,0 days 00:00:00.000155
8,0 days 00:00:00.000165
9,0 days 00:00:00.000165
