,time
0,0 days 00:00:00.000156
1,0 days 00:00:00.000175
2,0 days 00:00:00.000181
3,0 days 00:00:00.000198
4,0 days 00:00:00.000174
5,0 days 00:00:00.000178
6,0 days 00:00:00.000166
7,0 days 00:00:00.000155
8,0 days 00:00:00.000168
9,0 days 00:00:00.000182
