,avgcpu,labels
0,-0.952397,-0.9730232225725581
1,-0.95255804,-0.9442379444881457
2,-0.95196766,-0.9856695514804181
3,-0.9526996,-0.9730451423051896
4,-0.95343447,-0.9540872648960652
5,-0.9507914,-0.9737729542334747
6,-0.9542574,-0.9570347902562443
7,-0.9533611,-0.9576437604422046
8,-0.9516875,-0.9601861082209913
9,-0.9533987,-0.960883052650837
10,-0.95203257,-0.8912313549913171
11,-0.9520508,-0.9699077783558512
12,-0.9522606,-0.9564054040773559
13,-0.95275056,-0.9657705334306337
14,-0.9463818,-0.9495018120338405
15,-0.9531004,-0.9638838312682689
16,-0.9519181,-0.9633786288912329
17,-0.9528055,-0.9683367594170507
18,-0.95135355,-0.9600304722459478
19,-0.9525473,-0.9636852113132981
20,-0.9524796,-0.9600296838181366
21,-0.95294136,-0.9597561500862977
22,-0.9522399,-0.943771110412523
23,-0.9525571,-0.9551097820843482
24,-0.9522579,-0.9607853733886507
25,-0.9523257,-0.9689746331432325
26,-0.9509406,-0.959686229644891
27,-0.9518402,-0.9590093478432258
28,-0.95226824,-0.9551715304311192
29,-0.9529823,-0.9621533076018827
30,-0.9522301,-0.9544767790011355
31,-0.9521942,-0.9575766376510835
32,-0.9518393,-0.961356047006205
33,-0.95245814,-0.9825758419104405
34,-0.9518051,-0.9531261166960903
35,-0.95204914,-0.9676297034659664
36,-0.95221704,-0.9689075073794345
37,-0.9541558,-0.9596110684578463
38,-0.9516244,-0.963521408694481
39,-0.9528301,-0.9676780324315274
40,-0.9529823,-0.9600903260378575
41,-0.9521854,-0.9595099653609436
42,-0.9525,-0.9695413950178049
43,-0.9528853,-0.958727044209404
44,-0.9522663,-0.9590612433375818
45,-0.95214343,-0.9674059918684922
46,-0.95304286,-0.9496625183621772
47,-0.95216423,-0.9705999069509597
48,-0.9521452,-0.962114895949206
49,-0.9529388,-0.9634782184684122
50,-0.9513299,-0.9581757496145495
51,-0.9531058,-0.9598465863249104
52,-0.9523997,-0.9624174407271147
53,-0.95256245,-0.9668996333752392
54,-0.9521034,-0.9508036453602973
55,-0.9522208,-0.9581549460740226
56,-0.95241266,-0.9590505338879971
