timestamp,mincpu,maxcpu,avgcpu
2023-06-01 00:00:00,3.132481142920088,4.370764868283232,3.639686369627857
2023-06-01 00:05:00,3.2782159456066946,5.948606027623927,4.0278947609424325
2023-06-01 00:10:00,3.4659484787690724,10.30994767506798,4.516992461455068
2023-06-01 00:15:00,3.099620728486339,5.741714272937312,3.918347068146992
2023-06-01 00:20:00,3.2488437589902595,62.10759733295217,11.682712231521474
2023-06-01 00:25:00,3.380021382046022,6.753240592751219,4.456890132533151
2023-06-01 00:30:00,3.1673141513442764,4.358893150720736,3.7316280267420776
2023-06-01 00:35:00,2.9392367477905603,6.041909052805067,3.9363103979038727
2023-06-01 00:40:00,3.1347239661938224,4.336340785257224,3.7843759050000014
2023-06-01 00:45:00,3.1556843749183763,5.808366874387325,3.9332421122410377
2023-06-01 00:50:00,3.151265744612495,4.2341706518041455,3.67271153062449
2023-06-01 00:55:00,3.2671168217180586,13.614207638911182,6.071499114106263
2023-06-01 01:00:00,3.3177037509475005,4.196392818175409,3.608393954487756
2023-06-01 01:05:00,3.222082574441979,5.7651204357028085,3.9712017904640313
2023-06-01 01:10:00,3.171433157836033,9.101780677418096,4.620700046746769
2023-06-01 01:15:00,3.1730262273759684,5.788325388486742,3.888397759547608
2023-06-01 01:20:00,3.136875140675078,4.2767391928400045,3.6385310363318064
2023-06-01 01:25:00,3.4800106739760968,5.886358103770343,4.180802252397966
2023-06-01 01:30:00,2.8938892298754686,4.281884582995586,3.593469018999857
2023-06-01 01:35:00,3.081522125302956,6.173823892952636,3.90813352971416
2023-06-01 01:40:00,3.104139949849003,4.375396623384633,3.7477528480616176
2023-06-01 01:45:00,3.4548383658529813,5.844160612065041,4.0376691515462975
2023-06-01 01:50:00,3.1231453501867046,4.30050982647811,3.6234435874249065
2023-06-01 01:55:00,3.2155029165510163,9.977240910513483,5.95319749256368
2023-06-01 02:00:00,3.147836748714318,4.35355581435948,3.674485020133146
2023-06-01 02:05:00,3.17481458192461,5.925189244390856,3.87652434765488
2023-06-01 02:10:00,3.185929164346371,9.226097333224049,4.4599681209811175
2023-06-01 02:15:00,3.3272659829373032,5.2479099530085005,3.859852105439832
2023-06-01 02:20:00,3.125514121578999,4.34970379075957,3.6822429009145297
2023-06-01 02:25:00,3.208227041900784,5.575537372713256,3.958738630491492
2023-06-01 02:30:00,2.7310837964806685,4.1864928894549855,3.621062107395536
2023-06-01 02:35:00,3.107672585848588,33.738712347880735,6.759589771638914
2023-06-01 02:40:00,3.212345677125032,4.0852711305985085,3.649154558283892
2023-06-01 02:45:00,3.376040327308852,5.815501272689338,3.9171334287829183
2023-06-01 02:50:00,2.9046275699479267,4.237920499831346,3.635117413173112
2023-06-01 02:55:00,3.081953578127069,10.80902401617163,5.175428682641432
2023-06-01 03:00:00,3.31446634796244,10.436904713051993,4.404463636114268
2023-06-01 03:05:00,3.139358187732709,6.273454274373281,3.913611947880887
2023-06-01 03:10:00,3.2387252897056027,9.111490351684733,4.549993007293416
2023-06-01 03:15:00,3.4691183225531965,5.285049018795186,3.9427984288483966
2023-06-01 03:20:00,3.0022292773462724,4.394982794957044,3.7160201002049376
2023-06-01 03:25:00,3.3928507838359354,5.486069051356852,3.8656275883294096
2023-06-01 03:30:00,3.3218162700025493,4.018597780469575,3.679875882238497
2023-06-01 03:35:00,3.226028232909679,5.782681926214064,3.92800353666298
2023-06-01 03:40:00,3.143835037310963,4.188315725158171,3.6615055987117424
2023-06-01 03:45:00,3.3586063888642874,5.507118044990128,3.9014397535470935
2023-06-01 03:50:00,3.1536931719267223,4.105127557246275,3.66922983526334
2023-06-01 03:55:00,3.315458627299619,5.627305150863824,3.8577366279502137
2023-06-01 04:00:00,3.0942357810750827,10.49413832338891,5.553737575721389
2023-06-01 04:05:00,3.1517932636287664,5.826588064994865,3.859902459386908
2023-06-01 04:10:00,3.195741114681564,7.711731343741441,4.488216413717168
2023-06-01 04:15:00,3.304969868120012,5.935270172275184,3.812626345300912
2023-06-01 04:20:00,3.086460025167125,4.34909886540385,3.7246524524444258
2023-06-01 04:25:00,3.169998944807216,6.962593626828718,3.9830249785487215
2023-06-01 04:30:00,2.833962253202541,4.0450968115304535,3.645172520981456
2023-06-01 04:35:00,3.114743683829116,5.892074136533154,3.928379440664573
2023-06-01 04:40:00,3.18876891397046,4.274263861876124,3.753850855103519
2023-06-01 04:45:00,3.465180691246841,5.865639579577363,3.919988308951154
2023-06-01 04:50:00,3.063167634164224,4.115961383930649,3.710402891184319
2023-06-01 04:55:00,3.1515414003613254,6.222960220657297,3.903837144529674
2023-06-01 05:00:00,3.296927416404945,10.745676909259332,5.6216476303961365
2023-06-01 05:05:00,3.0696452906275087,5.860463097591536,3.918021852642396
2023-06-01 05:10:00,3.1981078464050885,7.8564890671530705,4.469365533234302
2023-06-01 05:15:00,3.4324561078169133,5.9508561145932255,3.924231541526948
2023-06-01 05:20:00,3.1852118489880774,4.187861349785114,3.75379339455744
2023-06-01 05:25:00,2.9865629218846843,6.05140982107511,3.876602361346168
2023-06-01 05:30:00,3.310935317398956,4.101124354835342,3.6024153118771896
2023-06-01 05:35:00,3.143877873521069,5.7128457488304045,3.9777341088340057
2023-06-01 05:40:00,3.152290368834745,4.201723465487572,3.6762207044484594
2023-06-01 05:45:00,3.373489550979976,5.677377129475977,3.774609448399117
2023-06-01 05:50:00,3.23062919190354,4.164851291403126,3.7394216424358384
2023-06-01 05:55:00,3.2347224673406823,5.949851550364162,3.850528765272123
2023-06-01 06:00:00,3.19129928768168,10.613183662038429,5.688448219750716
